sample	family	pop	super	gender	relationship	project
HG03697	ST025	STU	SAS	male	father	1kGP
HG03703	PK60	PJL	SAS	female	mother	1kGP
HG03705	PK61	PJL	SAS	male	father	1kGP
HG03708	PK62	PJL	SAS	male	father	1kGP
HG03709	PK62	PJL	SAS	female	mother	1kGP
HG03711	ST027	STU	SAS	male	father	1kGP
HG03714	IT009	ITU	SAS	female	mother	1kGP
HG03722	IT002	ITU	SAS	female	mother	1kGP
HG03727	IT003	ITU	SAS	male	father	1kGP
HG03729	IT013	ITU	SAS	male	father	1kGP
HG03730	IT011	ITU	SAS	female	mother	1kGP
HG03740	ST038	STU	SAS	male	father	1kGP
HG03741	ST038	STU	SAS	female	mother	1kGP
HG03742	IT015	ITU	SAS	male	father	1kGP
HG03746	ST050	STU	SAS	male	father	1kGP
HG03753	ST054	STU	SAS	male	father	1kGP
HG03756	ST052	STU	SAS	female	mother	1kGP
HG03760	ST058	STU	SAS	female	mother	1kGP
HG03780	IT039	ITU	SAS	female	mother	1kGP
HG03781	IT018	ITU	SAS	female	mother	1kGP
HG03784	IT023	ITU	SAS	female	mother	1kGP
HG03786	IT023	ITU	SAS	male	father	1kGP
HG03792	IT026	ITU	SAS	male	father	1kGP
HG03793	BD15	BEB	SAS	female	mother	1kGP
HG03800	BD17	BEB	SAS	male	father	1kGP
HG03802	BD18	BEB	SAS	female	mother	1kGP
HG03803	BD18	BEB	SAS	male	father	1kGP
HG03805	BD19	BEB	SAS	female	mother	1kGP
HG03809	BD20	BEB	SAS	male	father	1kGP
HG03812	HG03812	BEB	SAS	male	unrel	1kGP
HG03821	BD24	BEB	SAS	male	father	1kGP
HG03824	BD25	BEB	SAS	male	father	1kGP
HG03830	BD27	BEB	SAS	male	father	1kGP
HG03836	ST074	STU	SAS	female	mother	1kGP
HG03837	ST079	STU	SAS	male	father	1kGP
HG03838	ST078	STU	SAS	female	mother	1kGP
HG03844	ST075	STU	SAS	male	father	1kGP
HG03848	ST084	STU	SAS	male	father	1kGP
HG03854	ST094	STU	SAS	male	father	1kGP
HG03856	ST092	STU	SAS	male	father	1kGP
HG03862	IT035	ITU	SAS	female	mother	1kGP
HG03863	IT033	ITU	SAS	female	mother	1kGP
HG03869	IT035	ITU	SAS	male	father	1kGP
HG03870	IT037	ITU	SAS	male	father	1kGP
HG03871	HG03871	ITU	SAS	male	unrel	1kGP
HG03872	IT036	ITU	SAS	male	father	1kGP
HG03882	IT039a	ITU	SAS	female	mother	1kGP
HG03886	ST016	STU	SAS	female	mother	1kGP
HG03888	ST050	STU	SAS	female	mother	1kGP
HG03890	ST110	STU	SAS	male	father	1kGP
HG03894	ST111	STU	SAS	female	mother	1kGP
HG03895	ST107	STU	SAS	female	mother	1kGP
HG03900	ST115	STU	SAS	male	father	1kGP
HG03916	HG03916	BEB	SAS	female	unrel	1kGP
HG03925	BD37	BEB	SAS	female	mother	1kGP
HG03928	BD38	BEB	SAS	female	mother	1kGP
HG03931	BD39	BEB	SAS	female	mother	1kGP
HG03940	BD42	BEB	SAS	female	mother	1kGP
HG03941	BD42	BEB	SAS	male	father	1kGP
HG03947	ST118	STU	SAS	female	mother	1kGP
HG03963	IT042	ITU	SAS	male	father	1kGP
HG03965	IT45	ITU	SAS	male	father	1kGP
HG03968	IT046	ITU	SAS	female	mother	1kGP
HG03973	IT050	ITU	SAS	female	mother	1kGP
HG03976	IT050	ITU	SAS	male	father	1kGP
HG03977	IT047	ITU	SAS	female	mother	1kGP
HG03990	ST142	STU	SAS	male	father	1kGP
HG03999	ST007	STU	SAS	male	child	1kGP
HG04006	ST078	STU	SAS	male	father	1kGP
HG04014	IT059	ITU	SAS	female	mother	1kGP
HG04015	IT060	ITU	SAS	male	father	1kGP
HG04017	IT061	ITU	SAS	male	father	1kGP
HG04018	IT007	ITU	SAS	female	mother	1kGP
HG04020	IT059	ITU	SAS	male	father	1kGP
HG04022	IT062	ITU	SAS	male	father	1kGP
HG04025	IT058	ITU	SAS	female	mother	1kGP
HG04039	ST172	STU	SAS	male	father	1kGP
HG04062	IT182	ITU	SAS	female	mother	1kGP
HG04070	IT45	ITU	SAS	female	mother	1kGP
HG04099	ST203	STU	SAS	female	mother	1kGP
HG04118	IT214	ITU	SAS	female	mother	1kGP
HG04131	BD44	BEB	SAS	male	father	1kGP
HG04140	BD47	BEB	SAS	male	father	1kGP
HG04146	BD49	BEB	SAS	male	father	1kGP
HG04156	BD52	BEB	SAS	female	mother	1kGP
HG04177	BD59	BEB	SAS	female	mother	1kGP
HG04180	BD60	BEB	SAS	female	mother	1kGP
HG04183	BD61	BEB	SAS	female	mother	1kGP
HG04186	BD62	BEB	SAS	female	mother	1kGP
HG04194	BD65	BEB	SAS	male	father	1kGP
HG04198	IT220	ITU	SAS	male	father	1kGP
HG04200	IT220	ITU	SAS	female	mother	1kGP
HG04210	ST186	STU	SAS	male	father	1kGP
HG04227	ST232	STU	SAS	female	mother	1kGP
NA06989	1328	CEU	EUR	female	mother	1kGP
NA07048	1341	CEU	EUR	male	father	1kGP
NA10851	1344	CEU	EUR	male	father	1kGP
NA12878	1463	CEU	EUR	female	ceph	1kGP
NA12889	1463	CEU	EUR	male	ceph	1kGP
NA12890	1463	CEU	EUR	female	ceph	1kGP
NA18498	Y003	YRI	AFR	male	father	1kGP
NA18499	Y003	YRI	AFR	female	mother	1kGP
NA18502	Y004	YRI	AFR	female	mother	1kGP
NA18504	Y005	YRI	AFR	male	father	1kGP
NA18510	Y010a	YRI	AFR	male	unrel	1kGP
NA18516	Y013	YRI	AFR	male	father	1kGP
NA18520	Y014	YRI	AFR	female	mother	1kGP
NA18523	Y016	YRI	AFR	female	mother	1kGP
NA18525	NA18525	CHB	EAS	female	unrel	1kGP
NA18526	NA18526	CHB	EAS	female	unrel	1kGP
NA18528	NA18528	CHB	EAS	female	unrel	1kGP
NA18530	NA18530	CHB	EAS	male	unrel	1kGP
NA18532	NA18532	CHB	EAS	female	unrel	1kGP
NA18537	NA18537	CHB	EAS	female	unrel	1kGP
NA18538	NA18538	CHB	EAS	female	unrel	1kGP
NA18539	NA18539	CHB	EAS	female	unrel	1kGP
NA18544	NA18544	CHB	EAS	male	unrel	1kGP
NA18546	NA18546	CHB	EAS	male	unrel	1kGP
NA18552	NA18552	CHB	EAS	female	unrel	1kGP
NA18553	NA18553	CHB	EAS	female	unrel	1kGP
NA18555	NA18555	CHB	EAS	female	unrel	1kGP
NA18565	NA18565	CHB	EAS	female	unrel	1kGP
NA18566	NA18566	CHB	EAS	female	unrel	1kGP
NA18567	NA18567	CHB	EAS	female	unrel	1kGP
NA18570	NA18570	CHB	EAS	female	unrel	1kGP
NA18571	NA18571	CHB	EAS	female	unrel	1kGP
NA18577	NA18577	CHB	EAS	female	unrel	1kGP
NA18579	NA18579	CHB	EAS	female	unrel	1kGP
NA18591	NA18591	CHB	EAS	female	unrel	1kGP
NA18592	NA18592	CHB	EAS	female	unrel	1kGP
NA18595	NA18595	CHB	EAS	female	unrel	1kGP
NA18599	NA18599	CHB	EAS	female	unrel	1kGP
NA18603	NA18603	CHB	EAS	male	unrel	1kGP
NA18605	NA18605	CHB	EAS	male	unrel	1kGP
NA18612	NA18612	CHB	EAS	male	unrel	1kGP
NA18616	NA18616	CHB	EAS	female	unrel	1kGP
NA18621	NA18621	CHB	EAS	male	unrel	1kGP
NA18623	NA18623	CHB	EAS	male	unrel	1kGP
NA18625	NA18625	CHB	EAS	female	unrel	1kGP
NA18632	NA18632	CHB	EAS	male	unrel	1kGP
NA18637	NA18637	CHB	EAS	male	unrel	1kGP
NA18639	NA18639	CHB	EAS	male	unrel	1kGP
NA18642	NA18642	CHB	EAS	female	unrel	1kGP
NA18853	Y018	YRI	AFR	male	father	1kGP
NA18867	Y007	YRI	AFR	female	mother	1kGP
NA18868	Y007	YRI	AFR	male	father	1kGP
NA18873	Y019	YRI	AFR	female	mother	1kGP
NA18874	Y019	YRI	AFR	male	father	1kGP
NA18912	Y028	YRI	AFR	female	mother	1kGP
NA18940	NA18940	JPT	EAS	male	unrel	1kGP
NA18941	NA18941	JPT	EAS	female	unrel	1kGP
NA18942	NA18942	JPT	EAS	female	unrel	1kGP
NA18944	NA18944	JPT	EAS	male	unrel	1kGP
NA18946	NA18946	JPT	EAS	female	unrel	1kGP
NA18947	NA18947	JPT	EAS	female	unrel	1kGP
NA18953	NA18953	JPT	EAS	male	unrel	1kGP
NA18956	NA18956	JPT	EAS	female	unrel	1kGP
NA18960	NA18960	JPT	EAS	male	unrel	1kGP
NA18965	NA18965	JPT	EAS	male	unrel	1kGP
NA18966	NA18966	JPT	EAS	male	unrel	1kGP
NA18968	NA18968	JPT	EAS	female	unrel	1kGP
NA18969	NA18969	JPT	EAS	female	unrel	1kGP
NA18971	NA18971	JPT	EAS	male	unrel	1kGP
NA18972	NA18972	JPT	EAS	female	unrel	1kGP
NA18974	NA18974	JPT	EAS	male	unrel	1kGP
NA18977	NA18977	JPT	EAS	male	unrel	1kGP
NA18980	NA18980	JPT	EAS	female	unrel	1kGP
NA18981	NA18981	JPT	EAS	female	unrel	1kGP
NA18983	NA18983	JPT	EAS	male	unrel	1kGP
NA18988	NA18988	JPT	EAS	male	unrel	1kGP
NA18989	NA18989	JPT	EAS	male	unrel	1kGP
NA19001	NA19001	JPT	EAS	female	unrel	1kGP
NA19003	NA19003	JPT	EAS	female	unrel	1kGP
NA19011	NA19011	JPT	EAS	female	unrel	1kGP
NA19012	NA19012	JPT	EAS	male	unrel	1kGP
NA19017	NA19017	LWK	AFR	female	unrel	1kGP
NA19019	NA19019	LWK	AFR	female	unrel	1kGP
NA19024	NA19024	LWK	AFR	female	unrel	1kGP
NA19027	NA19027	LWK	AFR	male	unrel	1kGP
NA19028	NA19028	LWK	AFR	male	unrel	1kGP
NA19031	NA19031	LWK	AFR	male	unrel	1kGP
NA19037	NA19037	LWK	AFR	female	unrel	1kGP
NA19043	NA19043	LWK	AFR	male	unrel	1kGP
NA19055	NA19055	JPT	EAS	male	unrel	1kGP
NA19059	NA19059	JPT	EAS	female	unrel	1kGP
NA19068	NA19068	JPT	EAS	male	unrel	1kGP
NA19070	NA19070	JPT	EAS	male	unrel	1kGP
NA19080	NA19080	JPT	EAS	female	unrel	1kGP
NA19086	NA19086	JPT	EAS	male	unrel	1kGP
NA19096	Y041	YRI	AFR	male	father	1kGP
NA19113	Y079	YRI	AFR	male	father	1kGP
NA19114	Y079	YRI	AFR	female	mother	1kGP
NA19118	Y100	YRI	AFR	female	mother	1kGP
NA19119	Y060	YRI	AFR	male	father	1kGP
NA19129	Y077	YRI	AFR	female	child	1kGP
NA19137	Y043	YRI	AFR	female	mother	1kGP
NA19144	Y074	YRI	AFR	male	father	1kGP
NA19146	Y075	YRI	AFR	male	father	1kGP
NA19147	Y075	YRI	AFR	female	mother	1kGP
NA19153	Y072	YRI	AFR	male	father	1kGP
NA19189	Y111	YRI	AFR	male	father	1kGP
NA19197	Y035	YRI	AFR	female	mother	1kGP
NA19207	Y051	YRI	AFR	male	father	1kGP
NA19238	Y117	YRI	AFR	female	mother	1kGP
NA19307	NA19307	LWK	AFR	male	unrel	1kGP
NA19310	NA19310	LWK	AFR	female	unrel	1kGP
NA19315	NA19315	LWK	AFR	female	unrel	1kGP
NA19319	NA19319	LWK	AFR	male	unrel	1kGP
NA19327	NA19327	LWK	AFR	female	unrel	1kGP
NA19328	NA19328	LWK	AFR	female	unrel	1kGP
NA19331	LWK001	LWK	AFR	male	unrel	1kGP
NA19338	NA19338	LWK	AFR	female	unrel	1kGP
NA19347	NA19347	LWK	AFR	male	unrel	1kGP
NA19350	NA19350	LWK	AFR	male	unrel	1kGP
NA19351	NA19351	LWK	AFR	female	unrel	1kGP
NA19355	NA19355	LWK	AFR	female	unrel	1kGP
NA19383	NA19383	LWK	AFR	male	unrel	1kGP
NA19385	NA19385	LWK	AFR	male	unrel	1kGP
NA19391	NA19391	LWK	AFR	female	unrel	1kGP
NA19393	NA19393	LWK	AFR	male	unrel	1kGP
NA19397	NA19397	LWK	AFR	male	unrel	1kGP
NA19399	NA19399	LWK	AFR	female	unrel	1kGP
NA19403	NA19403	LWK	AFR	female	unrel	1kGP
NA19439	NA19439	LWK	AFR	female	unrel	1kGP
NA19449	NA19449	LWK	AFR	female	unrel	1kGP
NA19463	NA19463	LWK	AFR	female	unrel	1kGP
NA19472	NA19472	LWK	AFR	female	unrel	1kGP
NA19651	m005	MXL	AMR	female	mother	1kGP
NA19652	m005	MXL	AMR	male	father	1kGP
NA19654	m006	MXL	AMR	female	mother	1kGP
NA19655	m006	MXL	AMR	male	father	1kGP
NA19657	m007	MXL	AMR	female	mother	1kGP
NA19658	m007	MXL	AMR	male	father	1kGP
NA19661	m008	MXL	AMR	male	father	1kGP
NA19663	m012	MXL	AMR	female	mother	1kGP
NA19664	m012	MXL	AMR	male	father	1kGP
NA19669	m002	MXL	AMR	female	mother	1kGP
NA19676	m004	MXL	AMR	male	father	1kGP
NA19679	m009	MXL	AMR	male	father	1kGP
NA19700	2367	ASW	AFR	male	father	1kGP
NA19701	2367	ASW	AFR	female	mother	1kGP
NA19703	2368	ASW	AFR	male	father	1kGP
NA19707	2369	ASW	AFR	female	mother	1kGP
NA19711	2371	ASW	AFR	male	father	1kGP
NA19717	m014	MXL	AMR	male	father	1kGP
NA19720	m015	MXL	AMR	male	father	1kGP
NA19723	m016	MXL	AMR	male	father	1kGP
NA19728	m018	MXL	AMR	female	mother	1kGP
NA19729	m018	MXL	AMR	male	father	1kGP
NA19734	2393	MXL	AMR	female	mother	1kGP
NA19735	2393	MXL	AMR	male	father	1kGP
NA19740	2395	MXL	AMR	female	mother	1kGP
NA19747	m023	MXL	AMR	male	father	1kGP
NA19749	m024	MXL	AMR	female	mother	1kGP
NA19750	m024	MXL	AMR	male	father	1kGP
NA19758	m027	MXL	AMR	female	mother	1kGP
NA19759	m027	MXL	AMR	male	father	1kGP
NA19762	m028	MXL	AMR	male	father	1kGP
NA19770	m031	MXL	AMR	female	mother	1kGP
NA19774	m033	MXL	AMR	male	father	1kGP
NA19782	m036	MXL	AMR	female	mother	1kGP
NA19786	m032	MXL	AMR	male	father	1kGP
NA19789	m037	MXL	AMR	male	father	1kGP
NA19818	2418	ASW	AFR	male	father	1kGP
NA19819	2418	ASW	AFR	female	mother	1kGP
NA19834	2424	ASW	AFR	male	father	1kGP
NA19835	2424	ASW	AFR	female	mother	1kGP
NA19900	2425	ASW	AFR	male	father	1kGP
NA19901	2425	ASW	AFR	female	mother	1kGP
NA19904	2426	ASW	AFR	male	father	1kGP
NA19908	2427	ASW	AFR	male	father	1kGP
NA19909	2427	ASW	AFR	female	mother	1kGP
NA19916	2431	ASW	AFR	male	father	1kGP
NA19921	2433	ASW	AFR	female	mother	1kGP
NA20127	2446	ASW	AFR	female	mother	1kGP
NA20276	2466	ASW	AFR	female	mother	1kGP
NA20278	2467	ASW	AFR	male	father	1kGP
NA20281	2469a	ASW	AFR	male	unrel	1kGP
NA20289	2471	ASW	AFR	female	mother	1kGP
NA20294	2474	ASW	AFR	female	mother	1kGP
NA20298	2476a	ASW	AFR	male	father	1kGP
NA20314	2479	ASW	AFR	female	mother	1kGP
NA20332	2483	ASW	AFR	female	mother	1kGP
NA20334	2484	ASW	AFR	female	mother	1kGP
NA20342	2488	ASW	AFR	male	father	1kGP
NA20346	2490	ASW	AFR	male	father	1kGP
NA20348	2491	ASW	AFR	male	father	1kGP
NA20356	2494	ASW	AFR	male	father	1kGP
NA20357	2494	ASW	AFR	female	mother	1kGP
NA20359	2495	ASW	AFR	female	mother	1kGP
NA20503	NA20503	TSI	EUR	female	unrel	1kGP
NA20504	NA20504	TSI	EUR	female	unrel	1kGP
NA20505	NA20505	TSI	EUR	female	unrel	1kGP
NA20514	NA20514	TSI	EUR	female	unrel	1kGP
NA20520	NA20520	TSI	EUR	male	unrel	1kGP
NA20525	NA20525	TSI	EUR	male	unrel	1kGP
NA20530	NA20530	TSI	EUR	female	unrel	1kGP
NA20531	NA20531	TSI	EUR	female	unrel	1kGP
NA20532	NA20532	TSI	EUR	male	unrel	1kGP
NA20534	NA20534	TSI	EUR	male	unrel	1kGP
NA20536	NA20536	TSI	EUR	male	unrel	1kGP
NA20538	NA20538	TSI	EUR	male	unrel	1kGP
NA20539	NA20539	TSI	EUR	male	unrel	1kGP
NA20540	NA20540	TSI	EUR	female	unrel	1kGP
NA20585	NA20585	TSI	EUR	female	unrel	1kGP
NA20587	NA20587	TSI	EUR	female	unrel	1kGP
NA20588	NA20588	TSI	EUR	male	unrel	1kGP
NA20753	NA20753	TSI	EUR	female	unrel	1kGP
NA20757	NA20757	TSI	EUR	female	unrel	1kGP
NA20761	NA20761	TSI	EUR	female	unrel	1kGP
NA20762	NA20762	TSI	EUR	male	unrel	1kGP
NA20764	NA20764	TSI	EUR	female	unrel	1kGP
NA20769	NA20769	TSI	EUR	female	unrel	1kGP
NA20775	NA20775	TSI	EUR	female	unrel	1kGP
NA20778	NA20778	TSI	EUR	male	unrel	1kGP
NA20785	NA20785	TSI	EUR	male	unrel	1kGP
NA20787	NA20787	TSI	EUR	male	unrel	1kGP
NA20795	NA20795	TSI	EUR	female	unrel	1kGP
NA20801	NA20801	TSI	EUR	male	unrel	1kGP
NA20805	NA20805	TSI	EUR	male	unrel	1kGP
NA20810	NA20810	TSI	EUR	male	unrel	1kGP
NA20813	NA20813	TSI	EUR	female	unrel	1kGP
NA20822	NA20822	TSI	EUR	female	unrel	1kGP
NA20846	NA20846	GIH	SAS	male	unrel	1kGP
NA20847	NA20847	GIH	SAS	female	unrel	1kGP
NA20852	NA20852	GIH	SAS	male	unrel	1kGP
NA20853	NA20853	GIH	SAS	female	unrel	1kGP
NA20858	NA20858	GIH	SAS	male	unrel	1kGP
NA20861	NA20861	GIH	SAS	male	unrel	1kGP
NA20863	NA20863	GIH	SAS	male	unrel	1kGP
NA20866	NA20866	GIH	SAS	male	unrel	1kGP
NA20867	NA20867	GIH	SAS	male	unrel	1kGP
NA20876	NA20876	GIH	SAS	female	unrel	1kGP
NA20885	NA20885	GIH	SAS	male	unrel	1kGP
NA20888	NA20888	GIH	SAS	female	unrel	1kGP
NA20890	NA20890	GIH	SAS	male	unrel	1kGP
NA20896	NA20896	GIH	SAS	female	unrel	1kGP
NA20899	NA20899	GIH	SAS	female	unrel	1kGP
NA20900	NA20900	GIH	SAS	female	unrel	1kGP
NA20901	NA20901	GIH	SAS	male	unrel	1kGP
NA21098	NA21098	GIH	SAS	male	unrel	1kGP
NA21099	NA21099	GIH	SAS	male	unrel	1kGP
NA21101	NA21101	GIH	SAS	female	unrel	1kGP
NA21102	NA21102	GIH	SAS	female	unrel	1kGP
NA21103	NA21103	GIH	SAS	female	unrel	1kGP
NA21110	NA21110	GIH	SAS	female	unrel	1kGP
NA21111	NA21111	GIH	SAS	male	unrel	1kGP
NA21113	NA21113	GIH	SAS	male	unrel	1kGP
NA21114	NA21114	GIH	SAS	male	unrel	1kGP
NA21117	NA21117	GIH	SAS	male	unrel	1kGP
NA21118	NA21118	GIH	SAS	male	unrel	1kGP
NA21120	NA21120	GIH	SAS	female	unrel	1kGP
NA21124	NA21124	GIH	SAS	male	unrel	1kGP
NA21126	NA21126	GIH	SAS	male	unrel	1kGP
NA21127	NA21127	GIH	SAS	male	unrel	1kGP
NA21142	NA21142	GIH	SAS	female	unrel	1kGP
HG00418	SH006	CHS	EAS	male	father	698
HG00420	SH006	CHS	EAS	male	child	698
HG00427	SH009	CHS	EAS	male	father	698
HG00702	SH089	CHS	EAS	female	mother	698
HG01258	CLM16	CLM	AMR	male	child	698
HG01278	CLM23	CLM	AMR	female	mother	698
HG01347	CLM28	CLM	AMR	male	father	698
HG01983	PEL28	PEL	AMR	female	mother	698
HG02524	VN91	KHV	EAS	male	father	698
HG03307	NG77	ESN	AFR	male	father	698
HG03373	NG99	ESN	AFR	male	father	698
HG03582	SL73	MSL	AFR	male	father	698
HG03633	PK49	PJL	SAS	male	father	698
HG03639	PK51	PJL	SAS	male	father	698
HG03650	PK52	PJL	SAS	female	mother	698
HG03721	IT003	ITU	SAS	female	mother	698
HG03761	PK63	PJL	SAS	male	father	698
HG03794	BD15	BEB	SAS	male	father	698
HG03797	BD16	BEB	SAS	male	father	698
HG03816	BD22	BEB	SAS	female	child	698
HG03904	BD30	BEB	SAS	female	mother	698
HG03929	BD38	BEB	SAS	male	father	698
HG04132	BD44	BEB	SAS	female	mother	698
HG04147	BD49	BEB	SAS	female	mother	698
HG04149	BD50	BEB	SAS	male	father	698
HG04191	BD64	BEB	SAS	male	father	698
HG04192	BD64	BEB	SAS	female	mother	698
NA07014	13292	CEU	EUR	female	mother	698
NA07019	1340	CEU	EUR	female	mother	698
NA07348	1345	CEU	EUR	female	mother	698
NA10835	1416	CEU	EUR	male	father	698
NA10839	1420	CEU	EUR	female	mother	698
NA10842	1423	CEU	EUR	male	father	698
NA10843	1423	CEU	EUR	female	mother	698
NA10852	1346	CEU	EUR	female	mother	698
NA10856	1350	CEU	EUR	male	father	698
NA10857	1346	CEU	EUR	male	father	698
NA10859	1347	CEU	EUR	female	mother	698
NA10861	1362	CEU	EUR	female	mother	698
NA12335	1330	CEU	EUR	male	father	698
NA12336	1330	CEU	EUR	female	mother	698
NA12376	1353	CEU	EUR	female	mother	698
NA12386	1354	CEU	EUR	female	mother	698
NA12766	1451	CEU	EUR	male	father	698
NA12801	1454	CEU	EUR	male	father	698
NA12802	1454	CEU	EUR	female	mother	698
NA12877	1463	CEU	EUR	male	ceph	698
NA12891	1463	CEU	EUR	male	ceph	698
NA12892	1463	CEU	EUR	female	ceph	698
NA18859	Y012	YRI	AFR	male	father	698
NA18862	Y024	YRI	AFR	male	father	698
NA18913	Y028	YRI	AFR	male	father	698
NA19101	Y042	YRI	AFR	male	father	698
NA19122	Y061	YRI	AFR	female	mother	698
NA19127	Y077	YRI	AFR	female	mother	698
NA19128	Y077	YRI	AFR	male	father	698
NA19660	m008	MXL	AMR	female	mother	698
NA19675	m004	MXL	AMR	female	mother	698
NA19828	2418	ASW	AFR	male	child	698
